Symbol,Name,BuiltOn
DCK,DickCoin (DCK),
YBC,YbCoin (YBC),
UTL,Utile Network (UTL),
DLA,Dolla (DLA),
GE.CUR,General Electric Co (GE.CUR),
BNIX,BNIX Token (BNIX),ETH
SGE,Society of Galactic Exploration (SGE),ETH
MG,MinerGate Token (MG),
AFN,AltaFin (AFN),
IOV,Starname (IOV),
CRDT,CRDT (CRDT),
SCB,Space Cow Boy (SCB),BNB
WXDAI,Wrapped XDAI (WXDAI),
BERRY,Rentberry (BERRY),
XAUTHEDGE,1X Short Tether Gold Token (XAUTHEDGE),
MINT,Mint Club (MINT),
MZC,MazaCoin (MZC),
BHC,BighanCoin (BHC),
REV,Revain (REV),"TRX,ETH"
TUSD,True USD (TUSD),ETH
HYBN,Hey Bitcoin (HYBN),
DTCT,DetectorToken (DTCT),
SWM,Swarm Fund (SWM),
NRVE,Narrative (NRVE),
AER,Aeryus (AER),
LHD,LitecoinHD (LHD),
VTL,Vertical (VTL),
IFX,IdeaFeX (IFX),
GIO,Graviocoin (GIO),
XAT,ShareAt (XAT),
XSI,Stability Shares (XSI),
SPKZ,Spokkz (SPKZ),
NASH,NeoWorld Cash (NASH),
JOB,Jobchain (JOB),ETH
WBIND,Wrapped BIND (WBIND),
SIMPLE,SimpleChain (SIMPLE),
HTHEDGE,1X Short Huobi Token Token (HTHEDGE),
SMARTCREDIT,SmartCredit Token (SMARTCREDIT),
AMZN,Amazon FTX (AMZN),
FANZ,FanChain (FANZ),
WQT,Work Quest (WQT),ETH
GETH,Guarded Ether (GETH),ETH
WISC,WisdomCoin (WISC),
BYTS,Bytus (BYTS),
BALHALF,0.5X Long Balancer Token (BALHALF),
OPEN,Open Platform (OPEN),ETH
GML,GameLeagueCoin (GML),
ALGOBULL,3X Long Algorand Token (ALGOBULL),ETH
REP,Augur (REP),ETH
SONG,Song Coin (SONG),
ATMOS,Atmos (ATMOS),
WSD,White Standard (WSD),
BNBDOOM,10X Short BNB Token (BNBDOOM),ETH
RIL,Rilcoin (RIL),
SALMON,Salmon (SALMON),
OBS,One Basis Cash (OBS),BNB
NODET,Node (NODET),
FTXR.CUR,First Trust Nasdaq Transportation ETF (FTXR.CUR),
PDOGE,PolkaDoge (PDOGE),ETH
WSG,Wall Street Games (WSG),BNB
ONX,Onix (ONX),
TKT,Crypto Tickets (TKT),
TAU,Lamden Tau (TAU),
POSQ,Poseidon Quark (POSQ),
XRPHALF,0.5X Long XRP Token (XRPHALF),
VMC,VirtualMining Coin (VMC),
LOTEU,Loteo (LOTEU),
EVC,Eventchain (EVC),
SPAY,SpaceY 2025 (SPAY),ETH
KAAS,KAASY.AI (KAAS),
WBTC,Wrapped Bitcoin (WBTC),ETH
SDX,SwapDEX (SDX),ETH
SLING,Sling Coin (SLING),
XPRO,ProCoin (XPRO),
PPOVR,POVR (PPOVR),
HC,HyperCash (HC),
RDT,Reindeer (RDT),
LTBX,Litbinex Coin (LTBX),
BBC,BigBang Core (BBC),
DHV,DeHive (DHV),ETH
NIX,NIX (NIX),
BALHEDGE,1X Short Balancer Token (BALHEDGE),
GBK,Goldblock (GBK),
GLD,SPDR Gold Shares (GLD),
ARATA,Arata (ARATA),BNB
